Unnamed: 0,Volume,Last,Chg,% Chg
Aditxt Inc. (ADTX),83.1M,7.58,3.21,73.46
Heidmar Maritime Holdings Corp. (HMR),17.9M,3.87,1.17,43.33
Blue Hat Interactive Entertainment Technology (BHAT),4.6M,3.59,1.06,41.9
PMGC Holdings Inc. (ELAB),124.6K,5.32,1.08,25.62
Park Ha Biological Technology Co. Ltd. (PHH),434.9K,9.85,1.96,24.84
Brazil Potash Corp. (GRO),203.7K,3.3,0.63,23.6
SmartKem Inc. (SMTK),207.1K,3.45,0.65,23.21
NFT Ltd. (MI),67.0K,2.7,0.5,22.73
5E Advanced Materials Inc. (FEAM),608.2K,4.55,0.84,22.68
Regencell Bioscience Holdings Ltd. (RGC),2.0M,22.57,4.07,22.0
TuHURA Biosciences Inc. (HURA),157.3K,2.9,0.47,19.63
Tonix Pharmaceuticals Holding Corp. (TNXP),1.2M,19.25,2.97,18.24
AlTi Global Inc. (ALTI),106.8K,2.98,0.46,18.06
Phathom Pharmaceuticals Inc. (PHAT),1.7M,5.71,0.87,17.98
FinVolution Group ADR (FINV),3.5M,10.68,1.56,17.16
Worksport Ltd. (WKSP),344.8K,4.06,0.58,16.62
UP Fintech Holding Ltd. ADR (TIGR),22.9M,9.28,1.31,16.47
USA Rare Earth Inc. (USAR),259.1K,16.39,2.25,15.96
LQR House Inc. (YHC),1.4M,2.45,0.33,15.57
Mingteng International Corp. Inc. (MTEN),525.8K,8.8,1.09,14.14
Harrow Inc. (HROW),1.4M,26.58,3.26,13.99
Zepp Health Corp. ADR (ZEPP),80.1K,3.6,0.41,12.85
Tencent Music Entertainment Group ADR (TME),24.4M,14.74,1.68,12.83
Hycroft Mining Holding Corp. (HYMC),626.6K,3.33,0.37,12.56
Millrose Properties Inc. Cl A (MRP),2.7M,24.55,2.55,11.59
Quantum Computing Inc. (QUBT),62.0M,8.94,0.92,11.47
Elbit Systems Ltd. (ESLT),137.3K,411.52,42.26,11.44
Niu Technologies ADR (NIU),5.5M,3.91,0.4,11.4
