Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
FINV,FinVolution Group,,10.80 +1.68 (+18.42%),1.68,+18.42%,3.346M,804863,2.806B,9.39,88.04%,
JBSAY,JBS S.A.,,13.56 +1.91 (+16.39%),1.91,+16.39%,168107,80348,15.039B,11.69,25.85%,
TNXP,Tonix Pharmaceuticals Holding Corp.,,18.61 +2.33 (+14.30%),2.33,+14.30%,987583,1.601M,104.066M,-,-98.55%,
TME,Tencent Music Entertainment Group,,14.74 +1.68 (+12.90%),1.68,+12.90%,23.443M,7.488M,23.412B,27.82,18.30%,
TKAMY,thyssenkrupp AG,,11.31 +1.26 (+12.54%),1.26,+12.54%,79088,125634,7.041B,-,89.62%,
ESLT,Elbit Systems Ltd.,,410.17 +40.91 (+11.08%),40.91,+11.08%,128676,46250,18.292B,70.36,82.87%,
NEXT,NextDecade Corporation,,7.91 +0.66 (+9.17%),0.66,+9.17%,1.365M,1.745M,2.061B,-,31.82%,
BVHMF,Vistry Group PLC,,8.20 +0.65 (+8.61%),0.65,+8.61%,15650,21292,2.693B,8.72,-48.99%,
IMPUY,Impala Platinum Holdings Limited,,6.65 +0.37 (+5.89%),0.37,+5.89%,193536,202241,5.995B,-,68.07%,
RIVN,"Rivian Automotive, Inc.",,11.62 +0.60 (+5.49%),0.6,+5.49%,17.305M,31.967M,13.145B,-,-2.13%,
ALHC,"Alignment Healthcare, Inc.",,16.94 +0.85 (+5.28%),0.85,+5.28%,1.859M,2.048M,3.25B,-,225.71%,
CNX,CNX Resources Corporation,,32.23 +1.50 (+4.88%),1.5,+4.88%,1.134M,3.275M,4.797B,-,42.40%,
BRRLY,Barry Callebaut AG,,13.60 +0.67 (+5.18%),0.67,+5.18%,21505,72053,7.454B,34.87,-6.28%,
CDE,"Coeur Mining, Inc.",,6.74 +0.32 (+4.90%),0.32,+4.90%,11.913M,17.36M,4.307B,44.97,112.21%,
RNMBY,Rheinmetall AG,,314.80 +13.80 (+4.58%),13.8,+4.58%,27412,96075,68.339B,129.02,187.02%,
XIACF,Xiaomi Corporation,,7.75 +0.34 (+4.62%),0.34,+4.62%,23861,172010,188.918B,36.90,287.17%,
DB,Deutsche Bank Aktiengesellschaft,,25.00 +1.04 (+4.36%),1.04,+4.36%,3.021M,2.996M,48.588B,16.78,60.85%,
NIO,NIO Inc.,,5.24 +0.21 (+4.27%),0.21,+4.27%,58.15M,51.638M,10.656B,-,-3.08%,
MYRG,MYR Group Inc.,,125.93 +5.43 (+4.50%),5.43,+4.50%,237609,231437,2.032B,68.81,-24.94%,
IPGP,IPG Photonics Corporation,,65.99 +2.67 (+4.22%),2.67,+4.22%,122695,335041,2.808B,-,-27.87%,
AU,AngloGold Ashanti plc,,34.36 +1.37 (+4.15%),1.37,+4.15%,1.555M,2.419M,17.302B,14.75,62.75%,
VWDRY,Vestas Wind Systems A/S,,5.62 +0.22 (+4.07%),0.22,+4.07%,25362,476681,16.921B,31.22,-41.95%,
MLTX,MoonLake Immunotherapeutics,,40.24 +1.58 (+4.07%),1.58,+4.07%,201856,385927,2.547B,-,-23.56%,
AG,First Majestic Silver Corp.,,7.36 +0.27 (+3.81%),0.27,+3.81%,13.524M,17.895M,3.563B,-,34.79%,
XIACY,Xiaomi Corporation,,38.49 +1.52 (+4.11%),1.52,+4.11%,317017,690443,187.676B,36.31,232.17%,
