,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,KC,Kingsoft Cloud Holdings Limited,,15.14 +2.57 (+20.45%),2.57,+20.45%,11.261M,3.694M,3.595B,-,357.09%,
1,GDS,GDS Holdings Limited,,25.68 +3.97 (+18.29%),3.97,+18.29%,4.628M,1.479M,4.97B,-,263.04%,
2,IDXX,"IDEXX Laboratories, Inc.",,469.04 +46.99 (+11.13%),46.99,+11.13%,1.509M,644201,38.407B,45.36,-25.56%,
3,OKLO,Oklo Inc.,,45.93 +4.32 (+10.38%),4.32,+10.38%,32.121M,17.82M,6.283B,-,290.34%,
4,PTCT,"PTC Therapeutics, Inc.",,50.01 +4.13 (+9.00%),4.13,+9.00%,1.074M,725067,3.857B,-,71.26%,
5,EQX,Equinox Gold Corp.,,6.57 +0.50 (+8.24%),0.5,+8.24%,15.297M,5.177M,2.992B,11.95,35.79%,
6,MMYT,MakeMyTrip Limited,,118.23 +8.96 (+8.20%),8.96,+8.20%,1.162M,595091,12.98B,61.90,92.04%,
7,FTAI,FTAI Aviation Ltd.,,108.20 +7.67 (+7.63%),7.67,+7.63%,3.628M,2.646M,11.096B,-,81.69%,
8,TEM,"Tempus AI, Inc.",,61.54 +4.15 (+7.23%),4.15,+7.23%,14.802M,5.468M,9.689B,-,42.58%,
9,CQP,"Cheniere Energy Partners, L.P.",,65.17 +3.81 (+6.21%),3.81,+6.21%,301943,188586,31.545B,14.08,23.86%,
10,ASTS,"AST SpaceMobile, Inc.",,21.47 +1.23 (+6.08%),1.23,+6.08%,11.645M,9.3M,6.221B,-,602.78%,
11,TPX,"Tempur Sealy International, Inc.",,66.92 +3.78 (+5.99%),3.78,+5.99%,8.01M,1.564M,11.621B,30.56,24.54%,
12,RBC,RBC Bearings Incorporated,,367.29 +18.54 (+5.32%),18.54,+5.32%,715030,163030,11.549B,50.38,27.00%,
13,HWKN,"Hawkins, Inc.",,112.51 +5.60 (+5.24%),5.6,+5.24%,238054,136520,2.355B,28.77,80.96%,
14,PEGRY,Pennon Group Plc,,14.90 +0.72 (+5.08%),0.72,+5.08%,22442,78579,2.143B,-,-16.72%,
15,IONQ,"IonQ, Inc.",,41.47 +1.98 (+5.01%),1.98,+5.01%,16.461M,32.557M,8.974B,-,278.26%,
16,KCDMY,"Kimberly-Clark de México, S. A. B. de C. V.",,7.83 +0.37 (+4.96%),0.37,+4.96%,18776,173749,2.481B,12.43,-32.25%,
17,MOH,"Molina Healthcare, Inc.",,325.36 +14.95 (+4.82%),14.95,+4.82%,969492,626820,18.611B,16.56,-13.08%,
18,HMY,Harmony Gold Mining Company Limited,,11.80 +0.53 (+4.70%),0.53,+4.70%,9.677M,5.923M,7.504B,16.16,83.85%,
19,IREN,IREN Limited,,10.68 +0.46 (+4.50%),0.46,+4.50%,21.111M,17.608M,2.29B,-,166.15%,
20,HIMS,"Hims & Hers Health, Inc.",,38.93 +1.65 (+4.43%),1.65,+4.43%,17.803M,16.378M,8.505B,88.48,295.75%,
21,FN,Fabrinet,,225.60 +9.39 (+4.34%),9.39,+4.34%,1.36M,569401,8.182B,26.70,18.52%,
22,DV,"DoubleVerify Holdings, Inc.",,21.48 +0.87 (+4.22%),0.87,+4.22%,1.83M,1.756M,3.601B,56.53,-50.40%,
23,UMC,United Microelectronics Corporation,,6.02 +0.24 (+4.15%),0.24,+4.15%,21.555M,11.581M,15.955B,9.71,-24.64%,
24,TLN,Talen Energy Corporation,,230.85 +9.12 (+4.11%),9.12,+4.11%,1.202M,1.032M,10.61B,-,229.71%,
25,EAT,"Brinker International, Inc.",,189.14 +7.17 (+3.94%),7.17,+3.94%,1.639M,1.183M,8.399B,32.89,308.46%,
26,MSTR,MicroStrategy Incorporated,,347.09 +12.30 (+3.67%),12.3,+3.67%,18.076M,27.712M,87.588B,-,572.27%,
27,EC,Ecopetrol S.A.,,9.62 +0.34 (+3.66%),0.34,+3.66%,3.436M,2.6M,19.812B,4.88,-22.02%,
28,USAC,"USA Compression Partners, LP",,27.56 +0.91 (+3.41%),0.91,+3.41%,783754,351411,3.225B,50.11,7.29%,
29,ABBV,AbbVie Inc.,,190.14 +6.24 (+3.39%),6.24,+3.39%,8.332M,6.657M,336.004B,79.56,6.12%,
30,AU,AngloGold Ashanti plc,,31.20 +0.99 (+3.28%),0.99,+3.28%,3.373M,3.188M,15.71B,23.46,68.02%,
31,SGHC,Super Group (SGHC) Limited,,8.35 +0.26 (+3.21%),0.26,+3.21%,1.017M,700603,4.187B,835.00,158.47%,
32,FLYW,Flywire Corporation,,19.95 +0.62 (+3.21%),0.62,+3.21%,1.095M,1.519M,2.482B,117.35,-11.65%,
33,IAG,IAMGOLD Corporation,,6.44 +0.20 (+3.21%),0.2,+3.21%,16.143M,8.661M,3.679B,4.77,150.60%,
34,XPEV,XPeng Inc.,,15.69 +0.47 (+3.09%),0.47,+3.09%,12.095M,11.588M,14.79B,-,73.15%,
